#{"t_start": 1707321222.3920522, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.937,7,49.336926
0.883,13,49.354477
0.937,7,49.363913
0.874,14,49.383056
0.928,8,49.393692
0.928,8,49.404253
0.937,7,49.417928
0.919,9,49.433688
0.847,17,49.45783
0.739,29,49.496853
0.874,14,49.523498
0.883,13,49.545265
0.892,12,49.564318
0.865,15,49.587534
0.919,9,49.601593
0.937,7,49.612153
0.91,10,49.630733
0.919,9,49.645356
0.919,9,49.659276
0.829,19,49.687851
0.937,7,49.698452
0.946,6,49.708602
0.838,18,49.740983
0.928,8,49.753121
0.892,12,49.771136
0.937,7,49.781727
0.955,5,49.789043
0.928,8,49.799591
0.937,7,49.808683
0.937,7,49.817819
0.937,7,49.830999
0.928,8,49.843958
0.955,5,49.850965
0.901,11,49.865342
0.91,10,49.878728
0.847,17,49.900905
0.73,30,49.946874
0.793,23,49.978495
0.946,6,49.986884
0.937,7,49.996243
0.829,19,50.02193
0.91,10,50.038734
0.955,5,50.047471
0.829,19,50.074355
0.883,13,50.091901
0.946,6,50.100185
0.928,8,50.111523
0.892,12,50.128642
0.928,8,50.144177
0.829,19,50.173407
0.91,10,50.187349
0.946,6,50.195638
0.955,5,50.202837
0.928,8,50.214872
0.919,9,50.227617
0.937,7,50.240562
0.919,9,50.256046
0.901,11,50.271427
0.91,10,50.284892
0.892,12,50.301229
0.928,8,50.313075
0.91,10,50.326874
0.946,6,50.335191
0.757,27,50.380693
0.937,7,50.390835
0.946,6,50.399173
0.928,8,50.410402
0.766,26,50.448413
0.91,10,50.465862
0.928,8,50.47695
0.946,6,50.485332
0.901,11,53.391117
0.748,28,53.431547
0.946,6,53.443296
0.802,22,53.480991
0.838,18,53.50783
0.946,6,53.517005
0.937,7,53.527387
0.946,6,53.536789
0.946,6,53.549638
0.91,10,53.640604
0.919,9,53.663495
0.946,6,53.677345
0.883,13,53.700264
0.955,5,53.70997
0.919,9,53.725251
0.955,5,53.733863
0.955,5,53.741282
0.928,8,53.757293
0.91,10,53.776726
0.937,7,53.787446
0.946,6,53.796295
0.883,13,53.815345
0.928,8,53.827242
0.919,9,53.840096
0.955,5,53.847386
0.892,12,53.870078
0.955,5,53.878664
0.892,12,53.896203
0.865,15,53.918621
0.928,8,53.930339
0.955,5,53.937708
0.937,7,53.948171
0.946,6,53.960462
0.928,8,53.974139
0.955,5,53.98144
0.928,8,53.993386
0.937,7,54.003751
0.946,6,54.012154
0.955,5,54.019174
0.928,8,54.030385
0.892,12,54.047479
0.919,9,54.063923
0.946,6,54.074209
0.928,8,54.086478
0.946,6,54.095281
0.91,10,54.109667
0.955,5,54.116941
0.937,7,54.126697
0.928,8,54.138491
0.955,5,54.145695
0.928,8,54.156795
0.955,5,54.167549
0.91,10,54.184907
0.847,17,54.212066
0.937,7,54.222124
0.928,8,54.233174
0.919,9,54.245668
0.946,6,54.253842
0.928,8,54.264815
0.946,6,54.276673
0.937,7,54.289605
0.946,6,54.298474
0.955,5,54.305748
0.946,6,54.314148
0.946,6,54.322344
0.946,6,54.330715
0.883,13,54.349114
0.946,6,54.357352
0.928,8,54.36818
0.802,22,54.405329
